"transaction_id","account_id","transaction_date","amount","transaction_type","description"
10935,10002493,"2023-09-10",2500000.00,Deposit,Savings top-up
11375,10048313,"2024-02-11",3000000.00,Deposit,Bonus deposit
12323,10048011,"2024-03-09",2200000.00,Deposit,Side income
12834,10093842,"2024-03-15",1000000.00,Withdraw,Online shopping
13232,10004476,"2023-06-30",1900000.00,Withdraw,Rent payment
13389,10049917,"2024-01-15",4500000.00,Deposit,Commission income
13739,10490247,"2023-11-05",8000000.00,Deposit,Business income
13797,10049215,"2024-06-02",5000000.00,Deposit,Freelance payment
13832,10003451,"2023-06-05",500000.00,Withdraw,ATM withdrawal
13876,10049044,"2023-07-18",700000.00,Withdraw,Bill payment
13921,10043729,"2024-05-01",5000000.00,Deposit,Investment gain
13986,10048214,"2023-10-25",1500000.00,Withdraw,Holiday spending
17228,10048216,"2023-07-28",1700000.00,Withdraw,Utility bills
18210,10048008,"2023-08-14",2500000.00,Withdraw,Tuition fee
18274,10044012,"2023-12-20",1100000.00,Withdraw,Shopping expense
18383,10093842,"2024-02-20",3000000.00,Deposit,Salary deposit
18398,10040206,"2023-04-22",1200000.00,Withdraw,Groceries payment
18731,10003451,"2023-05-12",1500000.00,Deposit,Initial deposit
19287,10402205,"2024-01-03",10000000.00,Deposit,Fixed-term deposit
22832,10040020,"2023-09-17",1400000.00,Withdraw,Medical expense
23131,10024019,"2024-03-28",3500000.00,Deposit,Government support
23710,10004018,"2023-05-06",800000.00,Withdraw,Mobile recharge
